cowns,cownDist,behaviourCowns,whenCount,serviceTime,parallel,5%,25%,50%,75%,95%,max,avg
100,uniform,5,50,fixed[145],False,8.8e-05,0.29027,0.870405,1.305386,1.595802,28,28.723729994640152
100,uniform,5,50,fixed[145],True,0.072639,0.435264,0.870623,1.305805,1.668504,28.0,26.513890096743882
100,uniform,5,50,bimodal[100:1000:95],False,0.00012,0.200238,0.60038,0.900529,1.100708,40,38.44772685504515
100,uniform,5,50,exp[7],False,7.1e-05,0.472182,0.829589,1.433224,1.674742,28,25.269550292975165
100,uniform,5,100,fixed[145],False,0.145161,0.870436,1.740773,2.611058,3.336403,28,27.579047756154885
100,uniform,5,100,fixed[145],True,0.145266,0.870622,1.741383,2.683913,3.409128,28.0,27.576583619785094
100,uniform,5,100,bimodal[100:1000:95],False,0.100158,0.600457,1.400867,2.100888,3.001142,36,31.240383819355603
100,uniform,5,100,exp[7],False,0.102187,0.852438,1.814497,2.807099,3.423806,28,27.27445052210117
100,uniform,5,200,fixed[145],False,0.290335,1.741162,3.481835,5.367121,6.81758,28,27.576191984345545
100,uniform,5,200,fixed[145],True,0.291425,1.742478,3.55546,5.368478,6.818415,28.0,27.574180750409273
100,uniform,5,200,bimodal[100:1000:95],False,0.200412,1.500663,3.301656,5.101385,6.30194,36,28.162274971101986
100,uniform,5,200,exp[7],False,0.344557,1.793695,3.646498,5.194819,6.849277,36,27.020520193650665
100,uniform,10,50,fixed[145],False,0.000144,0.290317,0.870563,1.305648,1.596043,28,28.72059513668418
100,uniform,10,50,fixed[145],True,0.072685,0.435438,0.87092,1.305881,1.668878,28.0,28.70893617314474
100,uniform,10,50,bimodal[100:1000:95],False,0.000161,0.200319,0.60063,1.000902,1.301214,36,33.32318087089467
100,uniform,10,50,exp[7],False,9.9e-05,0.395273,0.802444,1.40058,1.647894,29,27.81675213827374
100,uniform,10,100,fixed[145],False,0.145131,0.870661,1.741102,2.611557,3.336673,28,26.514754798176313
100,uniform,10,100,fixed[145],True,0.145757,0.871274,1.742373,2.684156,3.410284,28.0,27.572394077890912
100,uniform,10,100,bimodal[100:1000:95],False,0.100235,0.600692,1.70084,2.701537,3.401517,35,27.766933247737136
100,uniform,10,100,exp[7],False,0.030203,0.754994,1.70044,2.700695,3.329832,29,28.08088755822923
100,uniform,10,200,fixed[145],False,0.29074,1.741401,3.481998,5.367298,6.816952,28,27.038141895627906
100,uniform,10,200,fixed[145],True,0.292317,1.743552,3.556356,5.369979,6.818998,28.0,27.301640951478568
100,uniform,10,200,bimodal[100:1000:95],False,0.200689,1.601004,3.302396,5.101347,6.302729,35,27.01860379473588
100,uniform,10,200,exp[7],False,0.393703,1.814668,3.667379,5.215565,6.866974,36,26.131408319587123
100,uniform,15,50,fixed[145],False,8.9e-05,0.290378,0.870402,1.305955,1.596227,28,28.714261512265296
100,uniform,15,50,fixed[145],True,0.072662,0.435378,0.870924,1.306434,1.669142,28.0,27.56638951418649
100,uniform,15,50,bimodal[100:1000:95],False,0.000106,0.200399,0.600407,0.900668,1.10112,40,41.63062148689593
100,uniform,15,50,exp[7],False,9.2e-05,0.3953,0.80248,1.400748,1.647812,29,28.588009617006435
100,uniform,15,100,fixed[145],False,0.145178,0.870661,1.741187,2.611793,3.337131,28,27.573336803897327
100,uniform,15,100,fixed[145],True,0.145521,0.871512,1.742428,2.684765,3.410441,28.0,27.035875796105156
100,uniform,15,100,bimodal[100:1000:95],False,0.100215,0.600595,1.700668,2.701412,3.401682,35,27.768321121751313
100,uniform,15,100,exp[7],False,0.102307,0.829686,1.781749,2.773884,3.39376,28,26.69243376272562
100,uniform,15,200,fixed[145],True,0.292488,1.743897,3.557362,5.370867,6.820784,28.0,27.577420159921463
100,uniform,15,200,bimodal[100:1000:95],False,0.200551,1.402219,3.102054,4.901636,6.101489,36,28.162013246002928
100,uniform,15,200,exp[7],False,0.312853,1.717551,3.57873,5.125345,6.780183,36,27.09230116723116
100,zipfian[0.99],5,50,fixed[145],False,0.000126,0.290368,0.87046,1.305414,1.740775,28,24.622415261957872
100,zipfian[0.99],5,50,fixed[145],True,0.072688,0.435505,0.870821,1.30589,1.740582,28.0,26.51422753449501
100,zipfian[0.99],5,50,bimodal[100:1000:95],False,0.000107,0.20042,0.600653,1.20068,1.600775,32,26.310582747835163
100,zipfian[0.99],5,50,exp[7],False,8.2e-05,0.395199,0.802289,1.400347,1.748655,29,26.282493704028635
100,zipfian[0.99],5,100,fixed[145],False,0.145243,0.870618,1.740964,2.611268,3.771155,28,24.623421700227567
100,zipfian[0.99],5,100,fixed[145],True,0.145336,0.870936,1.741636,2.683882,3.408594,28.0,26.516674215079927
100,zipfian[0.99],5,100,bimodal[100:1000:95],False,0.100262,0.600509,1.200819,2.201174,2.800875,40,27.020870650281573
100,zipfian[0.99],5,100,exp[7],False,0.072294,0.802342,1.748913,2.742372,3.812973,29,22.878107047120434
100,zipfian[0.99],5,200,fixed[145],False,0.290586,1.740754,3.482082,5.367475,7.542135,28,23.77506977091413
100,zipfian[0.99],5,200,fixed[145],True,0.291463,1.742235,3.554715,5.368126,6.889939,28.0,26.26501850173566
100,zipfian[0.99],5,200,bimodal[100:1000:95],False,0.200631,1.400638,3.20102,5.501859,7.501788,37,22.217739176184008
100,zipfian[0.99],5,200,exp[7],False,0.329798,1.749182,3.609695,5.236586,7.417792,37,23.215974261842295
100,zipfian[0.99],10,50,fixed[145],False,9.6e-05,0.290376,0.870658,1.305752,1.740802,28,22.980127245560585
100,zipfian[0.99],10,50,fixed[145],True,0.072728,0.435399,0.871106,1.306459,1.740908,28.0,25.53497039730882
100,zipfian[0.99],10,50,bimodal[100:1000:95],False,0.000161,0.200475,0.600624,0.900755,2.000637,39,20.826981104096582
100,zipfian[0.99],10,50,exp[7],False,0.0001,0.395233,0.802412,1.400585,2.189688,29,18.13100521556496
100,zipfian[0.99],10,100,fixed[145],True,0.145555,0.871407,1.742275,2.684633,3.771522,28.0,23.773003947269576
100,zipfian[0.99],10,100,bimodal[100:1000:95],False,0.100362,0.701081,1.601122,2.301622,4.101446,32,19.225611590736715
100,zipfian[0.99],10,100,exp[7],False,0.102252,0.853053,1.814723,2.806666,3.92859,28,21.04165005253048
100,zipfian[0.99],10,200,fixed[145],False,0.291123,1.741097,3.482347,5.367815,8.412526,28,20.27905397807611
100,zipfian[0.99],10,200,fixed[145],True,0.292002,1.743905,3.557056,5.370193,7.470208,28.0,23.77345042867097
100,zipfian[0.99],10,200,bimodal[100:1000:95],False,0.201149,1.901527,3.20186,5.302189,7.30161,40,23.251063707100773
100,zipfian[0.99],10,200,exp[7],False,0.330315,1.787177,3.635491,5.243366,8.434215,38,20.766012516506386
100,zipfian[0.99],15,50,fixed[145],False,0.000117,0.290496,0.870557,1.305765,1.741104,28,24.621227043167902
100,zipfian[0.99],15,50,fixed[145],True,0.072833,0.435704,0.870795,1.306558,1.813695,28.0,23.772212755598833
100,zipfian[0.99],15,50,bimodal[100:1000:95],False,0.000131,0.200531,0.60046,0.900595,1.201038,39,35.697864696525315
100,zipfian[0.99],15,50,exp[7],False,0.000157,0.514436,0.821542,1.461966,2.024083,29,19.292713682238205
100,zipfian[0.99],15,100,fixed[145],False,0.145277,0.870868,1.740895,2.612054,3.771434,28,24.622651706928394
100,zipfian[0.99],15,100,fixed[145],True,0.145438,0.870847,1.742715,2.683762,3.699696,28.0,22.98011140298406
100,zipfian[0.99],15,100,bimodal[100:1000:95],False,0.100296,0.601309,1.800805,2.902042,3.601075,34,25.634084719624635
100,zipfian[0.99],15,100,exp[7],False,0.072409,0.803041,1.749293,2.742294,3.642772,29,23.057630934486582
100,zipfian[0.99],15,200,fixed[145],False,0.290834,1.741989,3.482519,5.368466,6.963176,28,25.53615389516362
100,zipfian[0.99],15,200,fixed[145],True,0.292374,1.743836,3.556694,5.370782,7.254555,28.0,22.981254765019543
100,zipfian[0.99],15,200,bimodal[100:1000:95],False,0.200902,1.702965,3.601092,5.301261,6.602356,35,23.250579869461944
100,zipfian[0.99],15,200,exp[7],False,0.344966,1.79553,3.64732,5.194649,7.308867,36,23.836470371744056
100,zipfian[2],5,50,fixed[145],False,0.000126,0.290524,1.015439,1.740743,3.191107,24,13.788561781305688
100,zipfian[2],5,50,fixed[145],True,0.072965,0.435605,0.870709,1.450863,2.176041,28.0,20.27460739236515
